product_id,indication_id,evidence_text,mapping_method,source_id,confirmed
P000835,IND999,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,keyword_rule_v1,SRC001,false
P000836,IND005,單純性？疹角膜炎,keyword_rule_v1,SRC001,true
P000837,IND004,青光眼,keyword_rule_v1,SRC001,true
P000838,IND999,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,keyword_rule_v1,SRC001,false
P000839,IND010,暫時緩解因輕微眼部刺激所引起之不適，眼睛疲勞。,keyword_rule_v1,SRC001,true
P000840,IND003,眼睛疲勞、結膜充血、眼瞼緣炎、淚囊炎,keyword_rule_v1,SRC001,true
P000840,IND010,眼睛疲勞、結膜充血、眼瞼緣炎、淚囊炎,keyword_rule_v1,SRC001,true
P000840,IND011,眼睛疲勞、結膜充血、眼瞼緣炎、淚囊炎,keyword_rule_v1,SRC001,true
P000841,IND007,白內障手術、穿透角膜修補術、虹膜切除術及其他眼前段手術之縮瞳,keyword_rule_v1,SRC001,true
P000841,IND012,白內障手術、穿透角膜修補術、虹膜切除術及其他眼前段手術之縮瞳,keyword_rule_v1,SRC001,true
P000842,IND003,局部感染之治療,keyword_rule_v1,SRC001,true
P000843,IND003,眼部細菌性感染及發炎,keyword_rule_v1,SRC001,true
