product_substance_id,product_id,substance_id,raw_name,standardized_name,chinese_name,english_name,salt_ester_hydrate_form,base_substance_group,amount_raw,amount,unit,role,formulation_function,role_assignment_method,source_id,confirmed
PS-P001296-002,P001296,S00152,GLYCERIN (eq to GLYCEROL),GLYCERIN (EQ TO GLYCEROL),,GLYCERIN (EQ TO GLYCEROL),GLYCERIN (EQ TO GLYCEROL),GLYCERIN,,10.000000,MG,other_excipient,其他賦形劑,rule_based,SRC002,false
PS-P001296-003,P001296,S00261,Polysorbate 80,POLYSORBATE 80,,POLYSORBATE 80,POLYSORBATE 80,POLYSORBATE 80,,5.000000,MG,surfactant,界面活性劑,rule_based,SRC002,false
PS-P001297-001,P001297,S00329,Tetryzoline Hydrochloride (eq to Tetrahydrozoline Hydrochloride),TETRYZOLINE HYDROCHLORIDE (EQ TO TETRAHYDROZOLINE HYDROCHLORIDE),,TETRYZOLINE HYDROCHLORIDE (EQ TO TETRAHYDROZOLINE HYDROCHLORIDE),TETRYZOLINE HYDROCHLORIDE (EQ TO TETRAHYDROZOLINE HYDROCHLORIDE),TETRAHYDROZOLINE,,0.500000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001297-002,P001297,S00361,Zinc sulfate hydrate,ZINC SULFATE HYDRATE,,ZINC SULFATE HYDRATE,ZINC SULFATE HYDRATE,ZINC SULFATE HYDRATE,,1.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001297-003,P001297,S00066,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE,,0.100000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001297-004,P001297,S00083,CYANOCOBALAMIN,CYANOCOBALAMIN,,CYANOCOBALAMIN,CYANOCOBALAMIN,CYANOCOBALAMIN,,0.060000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001297-005,P001297,S00267,POTASSIUM L-ASPARTATE ,POTASSIUM L-ASPARTATE,,POTASSIUM L-ASPARTATE,POTASSIUM L-ASPARTATE,POTASSIUM L-ASPARTATE,,10.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001297-006,P001297,S00069,CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),,CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE,,5.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001298-001,P001298,S00054,CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),,CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),CARBOXYMETHYLCELLULOSE,,5.000000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
PS-P001298-002,P001298,S00152,GLYCERIN (eq to GLYCEROL),GLYCERIN (EQ TO GLYCEROL),,GLYCERIN (EQ TO GLYCEROL),GLYCERIN (EQ TO GLYCEROL),GLYCERIN,,9.000000,MG,other_excipient,其他賦形劑,rule_based,SRC002,false
PS-P001299-001,P001299,S00320,TAFLUPROST,TAFLUPROST,,TAFLUPROST,TAFLUPROST,TAFLUPROST,,0.015000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001300-001,P001300,S00188,LATANOPROST,LATANOPROST,,LATANOPROST,LATANOPROST,LATANOPROST,,0.050000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001300-002,P001300,S00334,TIMOLOL MALEATE,TIMOLOL MALEATE,,TIMOLOL MALEATE,TIMOLOL MALEATE,TIMOLOL,(eq. to Timolol.....5mg),6.830000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001301-001,P001301,S00188,LATANOPROST,LATANOPROST,,LATANOPROST,LATANOPROST,LATANOPROST,,0.050000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000120-001,P000120,S00350,VITAMIN A PALMITATE,VITAMIN A PALMITATE,,VITAMIN A PALMITATE,VITAMIN A PALMITATE,VITAMIN A PALMITATE,50000,50000.000000,I.U.,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
