product_id,license_number,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,ophthalmic_inclusion_evidence,legal_category,therapeutic_class,applicant,manufacturer,indication_raw,license_status,license_expiry_date,status_checked_at,default_include_in_search,default_include_in_statistics,preservative_free_status,preservative_free_evidence,source_id,verified_at
P000902,衛署藥輸字第018658號,哈布力士點眼液,HERPLEX LIQUIFILM OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,香港商愛力根有限公司台灣分公司,"ALLERGAN PHARMACEUTICALS (IRELAND) LTD.,INC.",單純性？疹濾過性病毒引起之角膜炎,註銷,1998/08/21,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000903,衛署藥輸字第018659號,保唯佳點眼液１％,P.V. CARPINE 1% LIQUIFILM OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,香港商愛力根有限公司台灣分公司,"ALLERGAN PHARMACEUTICALS (IRELAND) LTD.,INC.",青光眼,註銷,1998/02/24,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000904,衛署藥輸字第018660號,保唯佳點眼液２％,P.V. CARPINE 2% LIQUIFILM  OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,香港商愛力根有限公司台灣分公司,"ALLERGAN PHARMACEUTICALS (IRELAND) LTD.,INC.",青光眼,註銷,1998/02/22,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000905,衛署藥輸字第018664號,貝他眼點眼液０．５％Ｗ／Ｖ,BUNOLGAN LIQUIFILN STERILE OPHTHALMIC SOLUTION 0.5% W/V,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,levobunolol,台灣愛力根藥品股份有限公司,ALLERGAN PHARMACEUTICALS IRELAND,慢性開放性青光眼，高眼壓之眼內壓控制,註銷,2023/12/08,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000906,衛署藥輸字第018665號,貝歐平無菌眼藥水,GENOPTIC LIQUIFILM STERILE OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,gentamicin,香港商愛力根有限公司台灣分公司,"ALLERGAN PHARMACEUTICALS (IRELAND) LTD.,INC.",結膜炎、角膜炎、角膜潰瘍、瞼炎、淚囊炎,註銷,2004/12/02,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000907,衛署藥輸字第018666號,倍得美眼用懸浮液０．１２％,0.12% PRED MILD OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,prednisolone,台灣愛力根藥品股份有限公司,ALLERGAN PHARMACEUTICALS IRELAND,過敏性瞼緣炎、結合膜炎、潰瘍性角膜炎、異物侵入所引起之炎症,註銷,2020/01/08,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000908,衛署藥輸字第018681號,安保明眼藥水０．２５％Ｗ/Ｖ,APO-TIMOP 0.25%W/V OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,健喬信元醫藥生技股份有限公司,APOTEX INC.,降低眼內壓，青光眼。,註銷,1996/06/27,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000909,衛署藥輸字第018682號,安保明眼藥水０．５％Ｗ/Ｖ,APO-TIMOP 0.5%W/V OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,健喬信元醫藥生技股份有限公司,APOTEX INC.,降低眼內壓、青光眼。,註銷,1996/06/27,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000910,衛署藥輸字第018694號,點必舒眼藥膏,TOBRADEX STERILE OPHTHALMIC OINTMENT,眼用軟膏劑,ophthalmic_ointment,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,dexamethasone and antiinfectives,瑞士商愛爾康大藥廠股份有限公司台灣分公司,"ALCON LABORATORIES, INC.",對類固醇具有感受性之眼部疾患。,註銷,2006/07/10,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000911,衛署藥輸字第018776號,貝特舒眼用懸浮液,BETOPTIC S STERILE OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,betaxolol,台灣諾華股份有限公司,ALCON RESEARCH LLC,慢性開放性隅角青光眼。,有效,2026/08/28,2026-07-10,true,true,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
