product_id,substance_id,raw_name,normalized_name,base_substance_group,strength_raw,numerator_value,numerator_unit,denominator_value,denominator_unit,display_concentration,normalized_value_per_ml,concentration_normalized,normalization_status,concentration_status,parsing_rule,confidence,role,confirmation_status,source_id
oral_liquid_00009,sub_tfda_4800003700,POTASSIUM CRESOLSULFONATE,potassium cresolsulfonate,potassium cresolsulfonate,EACH ML CONTAINS: POTASSIUM CRESOLSULFONATE 7.5 MG,7.5,mg,1,mL,7.5 mg/mL,7.5,7.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00010,sub_tfda_2808000100,ACETAMINOPHEN (EQ TO PARACETAMOL),acetaminophen (eq to paracetamol),acetaminophen (eq to paracetamol),EACH ML CONTAINS: ACETAMINOPHEN (EQ TO PARACETAMOL) 12.500000 MG,12.5,mg,1,mL,12.5 mg/mL,12.5,12.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00010,sub_tfda_5620000500,SENEGA,senega,senega,EACH ML CONTAINS: SENEGA (SYRUP) ML,0.068,mL,1,mL,0.068 mL/mL,0.068,0.068 mL/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00010,sub_tfda_4800000510,CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate),carbetapentane citrate (eq to pentoxyverine citrate),carbetapentane citrate (eq to pentoxyverine citrate),EACH ML CONTAINS: CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate) 0.400000 MG,0.4,mg,1,mL,0.4 mg/mL,0.4,0.4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00010,sub_tfda_1212001813,DL-METHYLEPHEDRINE HCL,dl-methylephedrine hcl,dl-methylephedrine hcl,EACH ML CONTAINS: DL-METHYLEPHEDRINE HCL 0.400000 MG,0.4,mg,1,mL,0.4 mg/mL,0.4,0.4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00010,sub_tfda_0400000810,CHLORPHENIRAMINE MALEATE,chlorpheniramine maleate,chlorpheniramine maleate,EACH ML CONTAINS: CHLORPHENIRAMINE MALEATE 0.100000 MG,0.1,mg,1,mL,0.1 mg/mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00010,sub_tfda_2820000450,CAFFEINE ANHYDROUS,caffeine anhydrous,caffeine anhydrous,EACH ML CONTAINS: CAFFEINE ANHYDROUS 1.000000 MG,1,mg,1,mL,1 mg/mL,1,1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00011,sub_tfda_2808000100,ACETAMINOPHEN (EQ TO PARACETAMOL),acetaminophen (eq to paracetamol),acetaminophen (eq to paracetamol),EACH ML CONTAINS: ACETAMINOPHEN (EQ TO PARACETAMOL) 15 MG,15,mg,1,mL,15 mg/mL,15,15 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00011,sub_tfda_0400000810,CHLORPHENIRAMINE MALEATE,chlorpheniramine maleate,chlorpheniramine maleate,EACH ML CONTAINS: CHLORPHENIRAMINE MALEATE 0.12 MG,0.12,mg,1,mL,0.12 mg/mL,0.12,0.12 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00011,sub_tfda_2820000400,CAFFEINE,caffeine,caffeine,EACH ML CONTAINS: CAFFEINE 1.5 MG,1.5,mg,1,mL,1.5 mg/mL,1.5,1.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00011,sub_tfda_1212001813,DL-METHYLEPHEDRINE HCL,dl-methylephedrine hcl,dl-methylephedrine hcl,EACH ML CONTAINS: DL-METHYLEPHEDRINE HCL 0.495 MG,0.495,mg,1,mL,0.495 mg/mL,0.495,0.495 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00011,sub_tfda_4800001420,GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN),guaiacol glyceryl ether (eq to guaifenesin),guaiacol glyceryl ether (eq to guaifenesin),EACH ML CONTAINS: GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN) 2.49 MG,2.49,mg,1,mL,2.49 mg/mL,2.49,2.49 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00011,sub_tfda_9200004401,GLYCYRRHIZA EXTRACT,glycyrrhiza extract,glycyrrhiza extract,EACH ML CONTAINS: GLYCYRRHIZA EXTRACT 6.0 MG,6,mg,1,mL,6 mg/mL,6,6 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00012,sub_tfda_2808800110,CODEINE PHOSPHATE,codeine phosphate,codeine phosphate,EACH ML CONTAINS: CODEINE PHOSPHATE 0.4 MG,0.4,mg,1,mL,0.4 mg/mL,0.4,0.4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00012,sub_tfda_4004000200,AMMONIUM CHLORIDE,ammonium chloride,ammonium chloride,EACH ML CONTAINS: AMMONIUM CHLORIDE 4.0 MG,4,mg,1,mL,4 mg/mL,4,4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00012,sub_tfda_4800003601,PLATYCODON EXTRACT,platycodon extract,platycodon extract,EACH ML CONTAINS: PLATYCODON EXTRACT (LIQ.) 16 MG,16,mg,1,mL,16 mg/mL,16,16 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00013,sub_tfda_0400000810,CHLORPHENIRAMINE MALEATE,chlorpheniramine maleate,chlorpheniramine maleate,EACH ML CONTAINS: CHLORPHENIRAMINE MALEATE 0.12 MG,0.12,mg,1,mL,0.12 mg/mL,0.12,0.12 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00013,sub_tfda_1212001813,DL-METHYLEPHEDRINE HCL,dl-methylephedrine hcl,dl-methylephedrine hcl,EACH ML CONTAINS: DL-METHYLEPHEDRINE HCL 0.495 MG,0.495,mg,1,mL,0.495 mg/mL,0.495,0.495 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00013,sub_tfda_2820000450,CAFFEINE ANHYDROUS,caffeine anhydrous,caffeine anhydrous,EACH ML CONTAINS: CAFFEINE ANHYDROUS 1.5 MG,1.5,mg,1,mL,1.5 mg/mL,1.5,1.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00013,sub_tfda_2808000100,ACETAMINOPHEN (EQ TO PARACETAMOL),acetaminophen (eq to paracetamol),acetaminophen (eq to paracetamol),EACH ML CONTAINS: ACETAMINOPHEN (EQ TO PARACETAMOL) 15 MG,15,mg,1,mL,15 mg/mL,15,15 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00013,sub_tfda_4800001420,GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN),guaiacol glyceryl ether (eq to guaifenesin),guaiacol glyceryl ether (eq to guaifenesin),EACH ML CONTAINS: GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN) 2.49 MG,2.49,mg,1,mL,2.49 mg/mL,2.49,2.49 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00013,sub_tfda_9200004401,GLYCYRRHIZA EXTRACT,glycyrrhiza extract,glycyrrhiza extract,EACH ML CONTAINS: GLYCYRRHIZA EXTRACT 6 MG,6,mg,1,mL,6 mg/mL,6,6 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00014,sub_tfda_5656900720,THIOCTIC ACID AMIDE (THIOCTAMIDE),thioctic acid amide (thioctamide),thioctic acid amide (thioctamide),EACH ML CONTAINS: THIOCTIC ACID AMIDE (THIOCTAMIDE) 0.1 MG,0.1,mg,1,mL,0.1 mg/mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00014,sub_tfda_8810200700,RIBOFLAVIN PHOSPHATE SODIUM,riboflavin phosphate sodium,riboflavin phosphate sodium,EACH ML CONTAINS: RIBOFLAVIN PHOSPHATE SODIUM 0.02 MG,0.02,mg,1,mL,0.02 mg/mL,0.02,0.02 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00014,sub_tfda_8810101001,THIAMINE MONONITRATE,thiamine mononitrate,thiamine mononitrate,EACH ML CONTAINS: THIAMINE MONONITRATE 0.1 MG,0.1,mg,1,mL,0.1 mg/mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00014,sub_tfda_8810600300,PYRIDOXINE HCL,pyridoxine hcl,pyridoxine hcl,EACH ML CONTAINS: PYRIDOXINE HCL 0.1 MG,0.1,mg,1,mL,0.1 mg/mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00014,sub_tfda_8816000100,ASCORBIC ACID (VIT C),ascorbic acid (vit c),ascorbic acid (vit c),EACH ML CONTAINS: ASCORBIC ACID (VIT C) 4 MG,4,mg,1,mL,4 mg/mL,4,4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00014,sub_tfda_8810000300,NIACINAMIDE (NICOTINAMIDE),niacinamide (nicotinamide),niacinamide (nicotinamide),EACH ML CONTAINS: NIACINAMIDE (NICOTINAMIDE) 0.1 MG,0.1,mg,1,mL,0.1 mg/mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00014,sub_tfda_8813000100,INOSITOL (MESO-INOSITOL),inositol (meso-inositol),inositol (meso-inositol),EACH ML CONTAINS: INOSITOL (MESO-INOSITOL) 0.2 MG,0.2,mg,1,mL,0.2 mg/mL,0.2,0.2 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00015,sub_tfda_2808000100,ACETAMINOPHEN (EQ TO PARACETAMOL),acetaminophen (eq to paracetamol),acetaminophen (eq to paracetamol),EACH ML CONTAINS: ACETAMINOPHEN (EQ TO PARACETAMOL) 12.5 MG,12.5,mg,1,mL,12.5 mg/mL,12.5,12.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00015,sub_tfda_5620000500,SENEGA,senega,senega,EACH ML CONTAINS: SENEGA (SYRUP) 0.068 ML,0,mL,1,mL,0 mL/mL,0,0 mL/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00015,sub_tfda_4800000510,CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate),carbetapentane citrate (eq to pentoxyverine citrate),carbetapentane citrate (eq to pentoxyverine citrate),EACH ML CONTAINS: CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate) 0.4 MG,0.4,mg,1,mL,0.4 mg/mL,0.4,0.4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00015,sub_tfda_1212001813,DL-METHYLEPHEDRINE HCL,dl-methylephedrine hcl,dl-methylephedrine hcl,EACH ML CONTAINS: DL-METHYLEPHEDRINE HCL 0.4 MG,0.4,mg,1,mL,0.4 mg/mL,0.4,0.4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
