substance_id,raw_name,normalized_name,base_substance_group,source_id
sub_tfda_5612002605,SODIUM PHOSPHATE DIBASIC ANHYDROUS (EQ TO DISODIUM HYDROGEN PHOSPHATE ANHYDROUS)(EQ TO DIBASIC SODIUM PHOSPHATE ANHYDROUS)(DISODIUM PHOSPHATE ANHYDROUS),sodium phosphate dibasic anhydrous (eq to disodium hydrogen phosphate anhydrous)(eq to dibasic sodium phosphate anhydrous)(disodium phosphate anhydrous),sodium phosphate dibasic anhydrous (eq to disodium hydrogen phosphate anhydrous)(eq to dibasic sodium phosphate anhydrous)(disodium phosphate anhydrous),tfda_open_data_info43_cached_20260711
sub_tfda_5612002615,SODIUM PHOSPHATE MONOBASIC ANHYDROUS,sodium phosphate monobasic anhydrous,sodium phosphate monobasic anhydrous,tfda_open_data_info43_cached_20260711
sub_tfda_0400006810,LEVOCETIRIZINE DIHYDROCHLORIDE (EQ TO LEVOCETIRIZINE 2HCL),levocetirizine dihydrochloride (eq to levocetirizine 2hcl),levocetirizine dihydrochloride (eq to levocetirizine 2hcl),tfda_open_data_info43_cached_20260711
sub_tfda_2816100600,RISPERIDONE,risperidone,risperidone,tfda_open_data_info43_cached_20260711
sub_tfda_8404602000,IODINE,iodine,iodine,tfda_open_data_info43_cached_20260711
sub_tfda_4800002900,POTASSIUM IODIDE,potassium iodide,potassium iodide,tfda_open_data_info43_cached_20260711
sub_tfda_0400001310,DEXCHLORPHENIRAMINE MALEATE,dexchlorpheniramine maleate,dexchlorpheniramine maleate,tfda_open_data_info43_cached_20260711
sub_tfda_1212002620,PSEUDOEPHEDRINE SULFATE,pseudoephedrine sulfate,pseudoephedrine sulfate,tfda_open_data_info43_cached_20260711
sub_tfda_6836800214,CARNITINE CHLORIDE,carnitine chloride,carnitine chloride,tfda_open_data_info43_cached_20260711
sub_tfda_6824000200,CALCIUM LACTATE,calcium lactate,calcium lactate,tfda_open_data_info43_cached_20260711
sub_tfda_5612004110,ANTHRAQUINONE GLYCOSIDES,anthraquinone glycosides,anthraquinone glycosides,tfda_open_data_info43_cached_20260711
sub_tfda_8428000700,SALICYLIC ACID,salicylic acid,salicylic acid,tfda_open_data_info43_cached_20260711
sub_tfda_8804009300,VITAMIN A (PALMITATE),vitamin a (palmitate),vitamin a (palmitate),tfda_open_data_info43_cached_20260711
sub_tfda_8820000213,TOCOPHEROL ACETATE ALPHA DL-,tocopherol acetate alpha dl-,tocopherol acetate alpha dl-,tfda_open_data_info43_cached_20260711
sub_tfda_8810209600,RIBOFLAVIN(PHOSPHATE),riboflavin(phosphate),riboflavin(phosphate),tfda_open_data_info43_cached_20260711
sub_tfda_4800003611,PLATYCODI RADIX EXTRACT,platycodi radix extract,platycodi radix extract,tfda_open_data_info43_cached_20260711
sub_tfda_5620000501,SENEGA EXTRACT,senega extract,senega extract,tfda_open_data_info43_cached_20260711
sub_tfda_9600013500,GLYCERIN (eq to GLYCEROL),glycerin (eq to glycerol),glycerin (eq to glycerol),tfda_open_data_info43_cached_20260711
sub_tfda_4800000600,CARBOCYSTEINE (S-CARBOXYMETHYL CYSTEINE),carbocysteine (s-carboxymethyl cysteine),carbocysteine (s-carboxymethyl cysteine),tfda_open_data_info43_cached_20260711
sub_tfda_4400001310,LYSOZYME CHLORIDE,lysozyme chloride,lysozyme chloride,tfda_open_data_info43_cached_20260711
sub_tfda_1212009110,SALBUTAMOL (SULFATE),salbutamol (sulfate),salbutamol (sulfate),tfda_open_data_info43_cached_20260711
sub_tfda_5608000810,LOPERAMIDE HCL,loperamide hcl,loperamide hcl,tfda_open_data_info43_cached_20260711
sub_tfda_4010000310,LACTULOSE 50%,lactulose 50%,lactulose 50%,tfda_open_data_info43_cached_20260711
sub_tfda_9200004600,GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID ),glycyrrhizinic acid (eq to glycyrrhetinic acid glycoside)(eq to glycyrrhizic acid ),glycyrrhizinic acid (eq to glycyrrhetinic acid glycoside)(eq to glycyrrhizic acid ),tfda_open_data_info43_cached_20260711
sub_tfda_2808801910,METHADONE HYDROCHLORIDE,methadone hydrochloride,methadone hydrochloride,tfda_open_data_info43_cached_20260711
sub_tfda_1212003915,PROCATEROL HYDROCHLORIDE HEMIHYDRATE,procaterol hydrochloride hemihydrate,procaterol hydrochloride hemihydrate,tfda_open_data_info43_cached_20260711
sub_tfda_5612002610,SODIUM PHOSPHATE MONOBASIC (EQ TO MONOSODIUM PHOSPHATE)(EQ TO SODIUM DIHYDROGEN PHOSPHATE),sodium phosphate monobasic (eq to monosodium phosphate)(eq to sodium dihydrogen phosphate),sodium phosphate monobasic (eq to monosodium phosphate)(eq to sodium dihydrogen phosphate),tfda_open_data_info43_cached_20260711
sub_tfda_5612002600,SODIUM PHOSPHATE DIBASIC (eq to DISOD. HYDROGEN PHOSPHATE) (eq to DISODIUM PHOSPHATE),sodium phosphate dibasic (eq to disod. hydrogen phosphate) (eq to disodium phosphate),sodium phosphate dibasic (eq to disod. hydrogen phosphate) (eq to disodium phosphate),tfda_open_data_info43_cached_20260711
sub_tfda_0818000310,AMANTADINE HCL,amantadine hcl,amantadine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_9200014580,ARMENIACA WATER,armeniaca water,armeniaca water,tfda_open_data_info43_cached_20260711
sub_tfda_4008000800,SODIUM CITRATE (SODIUM CITRATE TRIBASIC),sodium citrate (sodium citrate tribasic),sodium citrate (sodium citrate tribasic),tfda_open_data_info43_cached_20260711
sub_tfda_8810200404,VITAMIN B2 (RIBOFLAVIN),vitamin b2 (riboflavin),vitamin b2 (riboflavin),tfda_open_data_info43_cached_20260711
sub_tfda_8812300210,Calcium Pantothenate,calcium pantothenate,calcium pantothenate,tfda_open_data_info43_cached_20260711
sub_tfda_8820000113,TOCOPHEROL ALPHA DL- (EQ TO DL-ALPHA TOCOPHEROL),tocopherol alpha dl- (eq to dl-alpha tocopherol),tocopherol alpha dl- (eq to dl-alpha tocopherol),tfda_open_data_info43_cached_20260711
sub_tfda_2824000200,BEZOAR ORIENTALE,bezoar orientale,bezoar orientale,tfda_open_data_info43_cached_20260711
sub_tfda_8804000300,VITAMIN A PALMITATE,vitamin a palmitate,vitamin a palmitate,tfda_open_data_info43_cached_20260711
sub_tfda_8810600100,PYRIDOXINE(VITAMIN B6),pyridoxine(vitamin b6),pyridoxine(vitamin b6),tfda_open_data_info43_cached_20260711
sub_tfda_8810000200,NIACIN (NICOTINIC ACID),niacin (nicotinic acid),niacin (nicotinic acid),tfda_open_data_info43_cached_20260711
sub_tfda_0812509210,ERYTHROMYCIN (ESTOLATE),erythromycin (estolate),erythromycin (estolate),tfda_open_data_info43_cached_20260711
sub_tfda_9200036810,DONEPEZIL HYDROCHLORIDE,donepezil hydrochloride,donepezil hydrochloride,tfda_open_data_info43_cached_20260711
sub_tfda_8424124700,MACROGOL 4000,macrogol 4000,macrogol 4000,tfda_open_data_info43_cached_20260711
sub_tfda_9200095400,ARIPIPRAZOLE,aripiprazole,aripiprazole,tfda_open_data_info43_cached_20260711
sub_tfda_4010000110,CITRULLINE MALATE,citrulline malate,citrulline malate,tfda_open_data_info43_cached_20260711
sub_tfda_6836800230,L-CARNITINE INNER SALT,l-carnitine inner salt,l-carnitine inner salt,tfda_open_data_info43_cached_20260711
sub_tfda_4800003630,PLATYCODON FLUID EXTRACT,platycodon fluid extract,platycodon fluid extract,tfda_open_data_info43_cached_20260711
sub_tfda_2004409700,FERRIC (PYROPHOSPHATE),ferric (pyrophosphate),ferric (pyrophosphate),tfda_open_data_info43_cached_20260711
sub_tfda_4020101310,LYSINE HCL,lysine hcl,lysine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_5622009725,METOCLOPRAMIDE (2HCL MONOHYDRATE),metoclopramide (2hcl monohydrate),metoclopramide (2hcl monohydrate),tfda_open_data_info43_cached_20260711
sub_tfda_6804001540,PREDNISOLONE PHOSPHATE SODIUM,prednisolone phosphate sodium,prednisolone phosphate sodium,tfda_open_data_info43_cached_20260711
sub_tfda_2820002500,PIRACETAM,piracetam,piracetam,tfda_open_data_info43_cached_20260711
sub_tfda_0812800910,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),tetracycline hcl (eq to tetracycline hydrochloride),tetracycline hcl (eq to tetracycline hydrochloride),tfda_open_data_info43_cached_20260711
sub_tfda_8818000000,VITAMIN D,vitamin d,vitamin d,tfda_open_data_info43_cached_20260711
sub_tfda_5608001100,PECTIN,pectin,pectin,tfda_open_data_info43_cached_20260711
sub_tfda_5608000601,KAOLIN COLLOIDAL,kaolin colloidal,kaolin colloidal,tfda_open_data_info43_cached_20260711
sub_tfda_3668001600,SODIUM IODIDE,sodium iodide,sodium iodide,tfda_open_data_info43_cached_20260711
sub_tfda_4020100452,ASPARTATE POTASSIUM MAGNESIUM L- ( EQ TO MAGNESIUM POTASSIUM L-ASPARTATE),aspartate potassium magnesium l- ( eq to magnesium potassium l-aspartate),aspartate potassium magnesium l- ( eq to magnesium potassium l-aspartate),tfda_open_data_info43_cached_20260711
sub_tfda_4800003901,PRUNUS YEDOEUSIS EXTRACT,prunus yedoeusis extract,prunus yedoeusis extract,tfda_open_data_info43_cached_20260711
sub_tfda_4020100702,GLUTAMIC ACID L-,glutamic acid l-,glutamic acid l-,tfda_open_data_info43_cached_20260711
sub_tfda_4020002100,GALACTOSE,galactose,galactose,tfda_open_data_info43_cached_20260711
sub_tfda_9200004002,GINSENG LIQUID EXTRACT,ginseng liquid extract,ginseng liquid extract,tfda_open_data_info43_cached_20260711
sub_tfda_9200028501,LIQUSTICUM EXTRACT,liqusticum extract,liqusticum extract,tfda_open_data_info43_cached_20260711
sub_tfda_2812002300,Lacosamide,lacosamide,lacosamide,tfda_open_data_info43_cached_20260711
sub_tfda_0400007100,Bilastine,bilastine,bilastine,tfda_open_data_info43_cached_20260711
sub_tfda_4800001470,GUAIACOL GLYCERIN ETHER,guaiacol glycerin ether,guaiacol glycerin ether,tfda_open_data_info43_cached_20260711
sub_tfda_8600100403,DIHYDROXYPROPYL THEOPHYLLINE,dihydroxypropyl theophylline,dihydroxypropyl theophylline,tfda_open_data_info43_cached_20260711
sub_tfda_9200004405,GLYCYRRHIZAE EXTRACT,glycyrrhizae extract,glycyrrhizae extract,tfda_open_data_info43_cached_20260711
sub_tfda_9200017911,ANGELICA RADIX EXTRACT,angelica radix extract,angelica radix extract,tfda_open_data_info43_cached_20260711
sub_tfda_9200004012,GINSENG RADIX EXTRACT,ginseng radix extract,ginseng radix extract,tfda_open_data_info43_cached_20260711
