license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
衛署藥製字第048276號,無花乾癬軟膏,BECANEX Ointment,軟膏劑,本品每天一次塗抹於患處，建議治療期間為四週，在此建議治療期間過後，若有須要，在醫療監督下，可再次重覆此一治療。每天最大劑量不得超過15g，每週最大劑量不應超過100g，而治療面積不可超過體表面積30%，並無使用於兒童的臨床經驗。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048286號,艾伏離凝膠0.1%,Anefree Gel 0.1%,外用凝膠劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048295號,"""健康"" 平痘美凝膠0.1%","Pindome Gel 0.1%  (Adapalene)""HEALTH""",外用凝膠劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048324號,醫黴妥乳膏 10毫克/公克,BUTEFINE CREAM 10MG/G,乳膏劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048326號,康炎乳膏,Gamicin Cream,乳膏劑,詳見仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049688號,驅黴樂乳膏,Tricosin Cream,乳膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049689號,比普利注射劑 0.3 毫克/毫升,Buprenorphine Injection 0.3mg/mL ”O-S”,注射劑,詳見仿單說明書。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049710號,治菌好親水性乳膏,Sohouo Hydrophilic Cream,乳膏劑,內容詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049721號,”福元”四聯乳膏,Four-unite Cream“F.Y.”,乳膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049735號,滅平寧靜脈乾粉注射劑,Mepenem powder for intravenous Injection,乾粉注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049746號,廣度顯注射劑 0.5 毫莫耳/毫升,"Gadodiamide Injection 0.5 mmol/mL ""TBC""",注射劑,依說明書使用。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049754號,賜安特靜脈注射液 1 毫克/毫升,Setron I.V. Injection 1 mg/ml,注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049811號,莎芙平乾粉注射劑,"Cefepime Powder for Injection ""o-s""",乾粉注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049863號,足愈乳膏,Chizocin Cream,乳膏劑,內容詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049864號,膚敏淨乳膏 0.05%,Fultin Cream 0.05%,乳膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049883號,益柔軟膏,Softnsupple Ointment,軟膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049907號,“榮民”皮立淨軟膏 0.5 毫克/公克,Pevigen Ointment 0.5mg/gm (Clobetasol Propionate),軟膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049931號,“派頓”角落得軟膏 10%,Kerata Ointment 10%“Patron”,軟膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049934號,服皮欣乳膏 20 毫克/公克,Fuskin Cream 20mg/gm,乳膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049977號,喜非平乾粉注射劑,Yupime Powder for Injection,乾粉注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049990號,適復美靜脈乾粉注射劑,Cefemax powder for I.V. Injection,乾粉注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第050031號,薇卡維生素乳霜,Veekal VitaADE Cream,乳膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第050063號,“永信”美能平靜脈乾粉注射劑,Meropem Intravenous Injection“Yung Shin”,乾粉注射劑,請詳閱說明書。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第050065號,“培力”密絲凝膠 2%,Mixi gel 2%“P.L.”,外用凝膠劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第050129號,宜克黴落靜脈注射液 10 毫克/毫升,Itranox IV injection 10 mg/ml,注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第050132號,〝永勝〞可立膚乳膏,"Ami Cream ""EVEREST""",乳膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第050164號,“台裕”希伏黴乾粉注射劑,Cefmay Powder for Injection“Tai Yu”,乾粉注射劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第050184號,袪斑利乳膏 4%,Chibenly Cream 4%,乳膏劑,詳見仿單。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
