product_id,substance_id,role,confirmation_status,role_evidence,source_id,verified_at
supp_0091,sub_polycresolsulfonate_policresulen_cinchocaine_hydrochloride,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0092,sub_prednisolone_acetate_lidocaine_allantoin_tocopherol_acetate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0093,sub_acetylsalicylate_lysine,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0094,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0095,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0096,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0097,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0098,sub_cinchocaine_hydrochloride_polycresolsulfonate_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0099,sub_dinoprostone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0100,sub_estriol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0101,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0102,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0103,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0104,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0105,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0106,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0107,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0108,sub_isoconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0109,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0110,sub_benzocaine_ethyl_aminobenzoate_tocopherol_acetate_prednisolone_tetracaine_hcl_zinc_oxide,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0111,sub_polycresolsulfonate_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0112,sub_polycresolsulfonate_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0113,sub_iodine_povidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0114,sub_nystatin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0115,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0116,sub_naproxen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0117,sub_isoconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0118,sub_progesterone_micronized,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0119,sub_benzocaine_ethyl_aminobenzoate_glycyrrhetic_acid_eq_to_glycyrrhetinic_acid_phenylephrine_hcl_chlorhexidine_acetate_bismuth_subnitrate_bismuth_nitrate_basic_lidocaine,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0120,sub_indomethacin_eq_to_indometacin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0121,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0122,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0123,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0124,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0125,sub_butoconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0126,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0127,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0128,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0129,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0130,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0131,sub_sodium_oleate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0132,sub_sertaconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0133,sub_aminosalicylic_acid_meta,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0134,sub_polycresolsulfonate_policresulen_cinchocaine_hydrochloride,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0135,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0136,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0137,sub_diprophylline,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0138,sub_isoconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0139,sub_miconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0140,sub_nystatin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0141,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0142,sub_aspirin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0143,sub_indomethacin_eq_to_indometacin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0144,sub_miconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
