review_id,license_number,product_id,issue_type,raw_value,standard_value,source,reason
review_leaflet_0067,衛部藥輸字第026770號,eye_formal_018,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0068,衛部藥製字第059880號,eye_formal_054,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0069,衛署藥輸字第017121號,eye_formal_144,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0070,衛署藥製字第025128號,eye_formal_147,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0071,衛部藥製字第058129號,eye_formal_149,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0072,衛署藥輸字第025921號,eye_formal_003,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0073,衛署藥輸字第021271號,eye_formal_023,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0074,衛署藥輸字第024330號,eye_formal_062,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0075,衛部藥輸字第026273號,eye_formal_064,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0076,衛署藥輸字第023681號,eye_formal_099,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0077,衛署藥製字第049459號,eye_formal_121,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0078,衛署藥輸字第021277號,eye_formal_158,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0079,衛署藥輸字第024795號,eye_formal_014,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0080,衛部藥輸字第028267號,eye_formal_031,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0081,衛署藥輸字第018654號,eye_formal_059,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0082,衛署藥輸字第024206號,eye_formal_065,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0083,衛署藥輸字第024397號,eye_formal_078,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0084,衛署藥輸字第022934號,eye_formal_080,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0085,衛部藥輸字第027223號,eye_formal_100,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0086,衛部藥製字第062373號,eye_formal_152,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0087,衛部藥輸字第026183號,eye_formal_159,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
