商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
敵必克顆粒,HISBEC GRANULES,衛署藥製字第013909號,製 劑,內服顆粒劑,CHLORPHENIRAMINE MALEATE;;OROTIC ACID (VIT B13);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID ),鋁箔袋盒裝;;塑膠瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
敵敏克必酏劑,HISTAPP ELIXIR,衛署藥製字第011897號,製 劑,酏劑,BROMPHENIRAMINE MALEATE;;PSEUDOEPHEDRINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
敵敏克必長效膜衣錠12毫克,Histapp Extended-Release F.C. Tablets 12mg,衛署藥製字第019779號,製 劑,膜衣錠,BROMPHENIRAMINE MALEATE,玻璃瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴涕、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
敵敏克必顆粒,HISTAPP GRANULES,衛署藥製字第013103號,製 劑,內服顆粒劑,PSEUDOEPHEDRINE HCL;;BROMPHENIRAMINE MALEATE,塑膠瓶裝;;鋁箔袋裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
敵敏克錠,HISTACUR TABLETS,內衛藥製字第007656號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
敵過敏 內服液 0.1% W/V,DEALLERGY ORAL SOLUTION 0.1% W/V,衛署藥製字第046282號,製 劑,內服液劑,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),塑膠瓶裝;;玻璃瓶裝,季節性鼻炎、結膜炎、過敏性鼻炎、蕁麻疹、過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
斯斯鼻炎膠囊,SUZULEX BIEN A CAPSULE,衛署藥製字第032037號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;GLYCYRRHIZINATE MONOAMMONIUM (MGR);;CAFFEINE ANHYDROUS;;BELLADONNA TOTAL ALKALOIDS;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
新鮮視洗眼液,FRESH-EYE,衛署藥輸字第023229號,製 劑,眼用洗劑,GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE);;AMINOCAPROIC ACID;;CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE );;CHLORPHENIRAMINE MALEATE,瓶裝附量器,沖洗眼部。,非眼科外用最終劑型,眼；眼用
新鮮視洗眼液,FRESH-EYE,衛署藥輸字第023229號,製 劑,眼用洗劑,GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE);;AMINOCAPROIC ACID;;CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE );;CHLORPHENIRAMINE MALEATE,瓶裝附量器,沖洗眼部。,非眼科外用最終劑型,眼；眼用
新鮮視立潔洗眼液,BALLADE REFRESH,衛署藥輸字第023359號,製 劑,眼用洗劑,AMINOETHYLSULFONIC ACID;;CHLORPHENIRAMINE MALEATE;;PYRIDOXINE HCL;;CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE );;DIPOTASSIUM GLYCYRRHIZINATE;;TOCOPHEROL ACETATE ALPHA D-;;AMINOCAPROIC ACID EPSILON-,塑膠瓶裝,沖洗眼部。,非眼科外用最終劑型,眼；眼用
新鮮視立潔洗眼液,BALLADE REFRESH,衛署藥輸字第023359號,製 劑,眼用洗劑,AMINOETHYLSULFONIC ACID;;CHLORPHENIRAMINE MALEATE;;PYRIDOXINE HCL;;CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE );;DIPOTASSIUM GLYCYRRHIZINATE;;TOCOPHEROL ACETATE ALPHA D-;;AMINOCAPROIC ACID EPSILON-,塑膠瓶裝,沖洗眼部。,非眼科外用最終劑型,眼；眼用
施洛得液,ISOBIDE SOLUTION,衛署藥輸字第012963號,製 劑,內服液劑,ISOSORBIDE,鋁箔包裝;;瓶裝;;盒裝,利尿、降眼壓、MENIERE'S病之改善。,非眼科外用最終劑型,眼
施洛得液,ISOBIDE SOLUTION,衛署藥輸字第012963號,製 劑,內服液劑,ISOSORBIDE,鋁箔包裝;;瓶裝;;盒裝,利尿、降眼壓、MENIERE'S病之改善。,非眼科外用最終劑型,眼
日方抗過敏錠,ALEBURON TABLET,衛部藥輸字第027494號,製 劑,膜衣錠,GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE);;RIBOFLAVIN (VIT B2);;PYRIDOXINE HYDROCHLORIDE;;DIPHENHYDRAMINE HCL;;OROTIC ACID (VIT B13),玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
明益淨糖衣錠,EROZIN S.C. TABLETS,衛署藥製字第004791號,製 劑,糖衣錠,CHLORPHENIRAMINE MALEATE;;GLYCYRRHIZINE EXTRACT;;OROTIC ACID (VIT B13),塑膠瓶裝;;鋁箔盒裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
明那膠囊,MENNA CAPSULES,衛署藥製字第000096號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝;;玻璃瓶裝;;PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
星特潤噴鼻液,TYRVAYA Nasal Spray,衛部藥輸字第028833號,製 劑,鼻用噴液劑,VARENICLINE TARTRATE,玻璃瓶裝,治療乾眼症之徵候及症狀。,非眼科外用最終劑型,眼；乾眼
星特潤噴鼻液,TYRVAYA Nasal Spray,衛部藥輸字第028833號,製 劑,鼻用噴液劑,VARENICLINE TARTRATE,玻璃瓶裝,治療乾眼症之徵候及症狀。,非眼科外用最終劑型,眼；乾眼
普拿敏錠,"BRORAMIN TABLETS ""YUNG CHI""",衛署藥製字第010281號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
普樂康舒敏鼻噴劑,Panacon Anti-Allergy Nasal Spray,衛部藥製字第059738號,製 劑,鼻用噴液懸浮劑,FLUTICASONE PROPIONATE MICRONIZED,玻璃瓶裝,暫時緩解已經醫師診斷之過敏性鼻炎或其他上呼吸道過敏相關症狀：鼻塞、流鼻水、打噴嚏、鼻搔癢、眼睛癢、流眼淚。,非眼科外用最終劑型,眼；眼睛癢
暢敏糖漿1公絲/公撮(樂雷塔定),LOTADIN SYRUP 1MG/ML(LORATADINE),衛署藥製字第046117號,製 劑,糖漿劑,LORATADINE,玻璃瓶裝;;塑膠瓶裝,緩解過敏性鼻炎的相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛搔癢和灼熱感。,非眼科外用最終劑型,眼
暢鼻兒膠囊,CHANBIL CAPSULES,衛署藥製字第022390號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;BELLADONNA ALKALOID (EXTRACT);;CAFFEINE ANHYDROUS;;GLYCYRRHIZATE (TRISODIUM);;PHENYLEPHRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
柏那明錠,VENAMINE TABLETS,內衛藥製字第002638號,製 劑,錠劑,DIPHENHYDRAMINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
柏那膜衣錠10毫克,VENA F.C. TABLETS,內衛藥製字第005124號,製 劑,膜衣錠,DIPHENHYDRAMINE HCL,玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
柔他定錠１０公絲（樂雷塔定）,FINSKA TABLETS 10MG,衛署藥製字第042626號,製 劑,錠劑,LORATADINE,瓶裝;;鋁箔盒裝,緩解過敏性鼻炎的相關症狀，如：鼻塞、流鼻水、搔癢及眼睛搔癢和灼熱感及緩解因慢性蕁麻疹及過敏性皮膚病所引起之症狀。,非眼科外用最終劑型,眼
柔他益持續性膜衣錠,FINSKA-LP S.R.F.C. TABLETS,衛署藥製字第044277號,製 劑,持續性膜衣錠,LORATADINE;;PSEUDOEPHEDRINE SULFATE;;PSEUDOEPHEDRINE SULFATE,鋁箔盒裝,緩解過敏性鼻炎及感冒的相關症狀，如鼻塞、打噴嚏、流鼻水、搔癢及流眼淚。,非眼科外用最終劑型,眼
柔樂坦錠10毫克,"Loratadine Tablets 10mg ""CYH""",衛署藥製字第057852號,製 劑,錠劑,LORATADINE,鋁箔盒裝;;塑膠瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)或過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
樂克敏錠,LOKMIN TABLETS,內衛藥製字第002645號,製 劑,錠劑,PYRIDOXINE HCL;;CHLORPHENIRAMINE MALEATE;;RIBOFLAVIN (VIT B2),塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
樂可力爽注射液0.5%,"Dexamethasone Injection 0.5% ""CYH""",衛署藥製字第057847號,製 劑,注射劑,DEXAMETHASONE SODIUM PHOSPHATE,盒裝,內分泌疾患，風濕性疾患、膠原組織疾患，皮膚病，過敏性疾患，眼科疾患，呼吸系統疾患，血液病腫瘤性疾患。,非眼科外用最終劑型,眼；眼科
樂敦洗眼液,Rohto Eye Flush Ophthalmic Preparation,衛署藥輸字第025035號,製 劑,眼用洗劑,POTASSIUM L-ASPARTATE ;;CHLORPHENIRAMINE MALEATE;;GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE),塑膠瓶裝,沖洗眼部。,非眼科外用最終劑型,眼；眼用；ophthalmic
樂暢鼻錠,LECHANGBI TABLETS,衛署藥製字第057331號,製 劑,錠劑,PHENYLEPHRINE HCL;;CARBINOXAMINE MALEATE,塑膠瓶裝;;PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
樂治敏膠囊,"LOTIMIN CAPSULES ""H.K.""",衛署藥製字第025167號,製 劑,膠囊劑,CARBINOXAMINE MALEATE;;CAFFEINE ANHYDROUS;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝,緩解枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
樂膚敏膠囊,"LOFUMINE CAPSULES ""Y.C.""",衛署藥製字第033181號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;OROTIC ACID (VIT B13);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;CHLORPHENIRAMINE MALEATE;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;OROTIC ACID (VIT B13),塑膠瓶裝;;鋁箔盒裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
樂那敏散,RONAMIN POWDER,內衛藥製字第002636號,製 劑,散劑,CHLORPHENIRAMINE MALEATE,罐裝附量器;;塑膠罐裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
樂那敏錠,RONAMIN TABLETS,內衛藥製字第002515號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
欣得康酏劑,SINTAPP ELIXIR,衛署藥製字第022107號,製 劑,酏劑,PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
欣敏樂內服液劑,XIN MIN RE SOLUTION,衛署藥製字第037834號,製 劑,內服液劑,PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE,玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
欣普列錠４毫克（甲基培尼皮質醇）,Shinpre Tablets 4mg (Methylprednisolone),衛署藥製字第026167號,製 劑,錠劑,METHYLPREDNISOLONE,瓶裝,膠原病：慢性關節僂麻質斯、僂麻質熱、播種性紅斑性狼瘡、過敏性疾患：氣喘、血清病、蕁麻疹、血液疾患：紫斑病、白血病、急、慢性淋巴性白血病、腎性症候群之腎疾患、重症感染症（危急時）潰瘍性大腸炎、外科、侵襲休克、重症火傷、皮膚疾患：接觸性皮膚炎、急性濕疹、眼疾患：眼瞼結膜疾患、虹彩炎、神經皮膚炎、脂漏性濕疹,非眼科外用最終劑型,眼
歐樂敏膠囊,OROMIN CAPSULES,衛署藥製字第030563號,製 劑,膠囊劑,RIBOFLAVIN (VIT B2);;OROTIC ACID (VIT B13);;PYRIDOXINE HCL;;CHLORPHENIRAMINE MALEATE,瓶裝;;鋁箔盒裝,緩解過敏所引起之搔癢，皮膚癢疹及過敏性鼻炎，枯草熱所引起之相關症狀（流鼻水， 打噴嚏，眼睛及喉部搔癢．,非眼科外用最終劑型,眼
歐欣靜眼用植入劑,Ocusingen Intravitreal Implant 0.19MG,衛部藥輸字第028700號,製 劑,植入劑,FLUOCINOLONE ACETONIDE,注射器,"用於治療糖尿病黃斑部水腫(diabetic macular edema, DME)，病人須曾接受過皮質類固醇療程且眼壓沒有具臨床意義升高。",非眼科外用最終劑型,眼；眼用
歐欣靜眼用植入劑,Ocusingen Intravitreal Implant 0.19MG,衛部藥輸字第028700號,製 劑,植入劑,FLUOCINOLONE ACETONIDE,注射器,"用於治療糖尿病黃斑部水腫(diabetic macular edema, DME)，病人須曾接受過皮質類固醇療程且眼壓沒有具臨床意義升高。",非眼科外用最終劑型,眼；眼用
歐欣靜眼用植入劑,Ocusingen Intravitreal Implant 0.19MG,衛部藥輸字第028700號,製 劑,植入劑,FLUOCINOLONE ACETONIDE,注射器,"用於治療糖尿病黃斑部水腫(diabetic macular edema, DME)，病人須曾接受過皮質類固醇療程且眼壓沒有具臨床意義升高。",非眼科外用最終劑型,眼；眼用
歐欣靜眼用植入劑,Ocusingen Intravitreal Implant 0.19MG,衛部藥輸字第028700號,製 劑,植入劑,FLUOCINOLONE ACETONIDE,注射器,"用於治療糖尿病黃斑部水腫(diabetic macular edema, DME)，病人須曾接受過皮質類固醇療程且眼壓沒有具臨床意義升高。",非眼科外用最終劑型,眼；眼用
歐治鼻舒敏抗過敏鼻噴劑,Otrivin Anti-Allergy Nasal Spray,衛署藥輸字第021477號,製 劑,鼻用噴液懸浮劑,FLUTICASONE PROPIONATE,定量鼻用噴液瓶;;定量鼻用噴液瓶,暫時緩解已經醫師診斷之過敏性鼻炎或其他上呼吸道過敏相關症狀：鼻塞、流鼻水、打噴嚏、鼻搔癢、眼睛癢、流眼淚。,非眼科外用最終劑型,眼；眼睛癢
歐治鼻舒敏抗過敏鼻噴劑,Otrivin Anti-Allergy Nasal Spray,衛署藥輸字第021477號,製 劑,鼻用噴液懸浮劑,FLUTICASONE PROPIONATE,定量鼻用噴液瓶;;定量鼻用噴液瓶,暫時緩解已經醫師診斷之過敏性鼻炎或其他上呼吸道過敏相關症狀：鼻塞、流鼻水、打噴嚏、鼻搔癢、眼睛癢、流眼淚。,非眼科外用最終劑型,眼；眼睛癢
止敏糖衣錠（鹽酸氯晒克利淨）,"ZIMIN S.C. TABLETS (CHLORCYCLIZINE) ""NCP""",衛署藥製字第023981號,製 劑,糖衣錠,CHLORCYCLIZINE HCL,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
氯芬尼拉明錠,"CHLORPHENIRAMINE TABLETS ""ASTAR""",衛署藥製字第004704號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
永康敏內服液,ALLTEC ORAL SOLUTION (0.1%),衛署藥製字第046431號,製 劑,內服液劑,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),塑膠瓶裝;;玻璃瓶裝,季節性鼻炎、結膜炎、過敏性鼻炎、蕁麻疹、過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
永康敏膜衣錠１０毫克,ALLTEC F.C. TABLETS 10MG,衛署藥製字第043213號,製 劑,膜衣錠,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),塑膠罐裝;;鋁箔盒裝,季節性鼻炎、結膜炎、過敏性鼻炎、蕁麻疹、過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
永康敏鼻緩釋膠囊,Nosetec Sustained-Release Capsules,衛署藥製字第049263號,製 劑,緩釋微粒膠囊,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL );;PSEUDOEPHEDRINE HCL;;CAPSULE SHELL,鋁箔盒裝,治療季節型及常年型過敏性鼻炎的相關症狀，包括鼻黏膜充血、打噴嚏、流鼻水、鼻腔和眼睛搔癢。,非眼科外用最終劑型,眼
汎敏定膜衣錠 60 毫克,Fynadin F.C. Tablets 60 mg,衛署藥製字第049113號,製 劑,膜衣錠,FEXOFENADINE HYDROCHLORIDE,塑膠瓶裝(HDPE);;AL-PVDC鋁箔盒裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)或皮膚搔癢。,非眼科外用最終劑型,眼
注射用水,"WATER FOR INJECTION ""R.S.P.P""",衛署藥製字第003930號,製 劑,注射劑,WATER FOR INJECTION,安瓿,用作溶劑、調配注射液、眼用溶劑,非眼科外用最終劑型,眼；眼用
泰吉錠,TAI CHI TABLETS,衛署藥製字第015409號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、鼻塞、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
泰炎錠 100 毫克 (泰拉邁得),Tyrame Tablets 100mg (Tiaramide),衛署藥製字第055427號,製 劑,錠劑,TIARAMIDE HCL,塑膠瓶裝;;鋁箔盒裝,手術後或外傷後之鎮痛、消炎。下列疾病之鎮痛、消炎：上呼吸道炎症(感冒、咽喉炎、扁桃腺炎)、關節炎、腰痛症、頸肩腕症候群、骨盤內炎症、軟產道損傷、乳房鬱積、帶狀&#30129;疹、多形侵出性紅斑、膀胱炎、副睪丸炎、前眼部炎症、智齒周圍炎。拔齒後之鎮痛、消炎。,非眼科外用最終劑型,眼
泰美敏酏劑,Dimeta Elixir,衛部藥製字第058798號,製 劑,酏劑,BROMPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、鼻塞、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
洛敏達糖漿劑 1毫克/毫升,Losta Syrup 1 mg/mL,衛署藥製字第048770號,製 劑,糖漿劑,LORATADINE,塑膠瓶裝;;玻璃瓶裝,緩解過敏性鼻炎之相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛的搔癢和灼熱感。,非眼科外用最終劑型,眼
洛鼻康—必錠,OOBICAN-P TABLETS,衛署藥製字第007552號,製 劑,錠劑,MEQUITAZINE,盒裝;;瓶裝,過敏性鼻炎、乾草熱、蕁麻疹、濕疹、血管性神經水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
洛鼻康錠,ROOBICAN TABLETS,衛署藥製字第004901號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
涕可寧錠,Ticonin Tablets,衛部藥製字第058602號,製 劑,錠劑,PHENYLEPHRINE HCL;;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS,塑膠瓶裝;;PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
涕立淨內服液劑1毫克/毫升,Tirizin oral solution 1 mg/ml,衛署藥製字第049026號,製 劑,內服液劑,CETIRIZINE HYDROCHLORIDE,塑膠瓶裝;;玻璃瓶裝,季節性鼻炎，結膜炎，過敏性鼻炎，蕁麻疹，過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
清鼻樂膠囊,CHINBIRON CAPSULES,衛署藥製字第012129號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
溫舒敏膠囊,ANTIHEPA CAPSULES,衛署藥製字第043081號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;OROTIC ACID (VIT B13);;GLYCYRRHIZIN,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
溴敏錠,"BROMPHENIRAMINE TABLETS ""GENTLE""",衛署藥製字第015530號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀〈流鼻水、打噴嚏、眼睛及喉部搔癢〉及過敏引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
溴敏錠〝嘉信〞,"BROMPHENIRAMINE TABLETS ""C.S.P.""",衛署藥製字第014610號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
滅癬液,"Metrosen Solution ""Metro""",衛部藥製字第060943號,製 劑,外用液劑,PHENOL (CARBOLIC ACID);;RESORCINOL (RESORCIN);;SALICYLIC ACID,瓶裝,白癬、香港腳、小兒苔癬、皮膚搔癢症、雞眼、乾癬、疥癬、急慢性濕疹、帶狀皰疹、皮脂溢出、糠疹。,非眼科外用最終劑型,眼
滴鼻停糖漿,DRIPINIL SYRUP,衛署藥製字第046621號,製 劑,糖漿劑,TRIPROLIDINE HCL;;PSEUDOEPHEDRINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
潤視洗眼液,Lush Eye Wash,衛署藥製字第056732號,製 劑,眼用洗劑,SODIUM CHLORIDE,塑膠瓶裝,沖洗眼部。,非眼科外用最終劑型,眼；眼用
為您好喜洛鼻炎膠囊,GOOD FOR YOU HIROS BIEIN CAPSULES,衛署藥製字第043969號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;BELLADONNA TOTAL ALKALOIDS;;GLYCYRRHIZINATE MONOAMMONIUM (MGR);;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
為您好永勝肝安敏微粒膠囊,WINIFUL EVEREST ANTIMIN M.CAPSULES,衛署藥製字第040136號,製 劑,膠囊劑,GLYCYRRHIZIN (AMMONIATED);;OROTIC ACID (VIT B13);;CHLORPHENIRAMINE MALEATE,塑膠瓶裝;;鋁箔盒裝,暫時緩解過敏性鼻炎，枯草熱所引起之相關症狀（流鼻涕，打噴嚏，眼睛及喉部搔癢）及過敏所引起之搔癢，皮膚癢疹。,非眼科外用最終劑型,眼
特息敏錠2毫克,DEX-CTM TABLETS 2MG,衛署藥製字第027040號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
特敏福持續性藥效錠,Minlife-P Sustained Release Film Coated Tablets,衛署藥製字第049362號,製 劑,持續性藥效錠,PSEUDOEPHEDRINE SULFATE;;LORATADINE;;PSEUDOEPHEDRINE SULFATE,PTP 鋁箔盒裝,緩解過敏性鼻炎及感冒的相關症狀，如鼻塞、打噴嚏、流鼻水、搔癢及流眼淚。,非眼科外用最終劑型,眼
理冒敏寧膜衣錠10毫克,Fucole Cetirizine F.C. Tablets 10mg,衛署藥製字第057893號,製 劑,膜衣錠,CETIRIZINE HYDROCHLORIDE,PTP 鋁箔盒裝,緩解鼻子過敏流鼻水、眼睛、皮膚搔癢等過敏現象。,非眼科外用最終劑型,眼
