商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
"""中美"" 安敏速達錠","AMINSUTA TABLETS ""C.M.""",衛署藥製字第029435號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;TRIPROLIDINE HCL,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""中美"" 鼻速通樂膠囊","BISUTON CAPSULES ""C.M.""",衛署藥製字第026103號,製 劑,膠囊劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL;;CAFFEINE ANHYDROUS,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""中菱""鼻通錠","BETON TABLETS ""C.R.""",衛署藥製字第024448號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""久松""敏寶顆粒","MENWON GRAN. ""C.S.""",衛署藥製字第023542號,製 劑,內服顆粒劑,BIOTIN;;PANTOTHENATE CALCIUM;;RIBOFLAVIN (VIT B2);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;NIACINAMIDE (NICOTINAMIDE);;CHLORPHENIRAMINE MALEATE;;PYRIDOXINE HCL,瓶裝;;罐裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""五洲""過敏美奎錠5毫克",U-Chu Mequitazine Tablets 5 mg,衛署藥製字第044115號,製 劑,錠劑,MEQUITAZINE,鋁箔盒裝;;塑膠瓶裝,乾草症、過敏性鼻炎、蕁麻疹、濕疹、血管神經性水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""井田"" 克敏達錠（延胡索酸可利汀）","CLEMASTINE TABLETS ""CHINTENG""",衛署藥製字第023319號,製 劑,錠劑,CLEMASTINE (FUMARATE),鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""井田"" 普克敏錠","PUKAMIN TABLETS ""CHINTENG""",衛署藥製字第009691號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""井田"" 涕可止膠囊","TICOS CAPSULES ""CHINTENG""",衛署藥製字第039804號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;PSEUDOEPHEDRINE HCL;;BELLADONNA EXTRACT,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""井田"" 鼻康速錠","NORSECON TABLETS ""CHINTENG""",衛署藥製字第015540號,製 劑,錠劑,CAFFEINE ANHYDROUS;;PHENYLEPHRINE HCL;;CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""井田"" 鼻速好液","BISUHOW SOLUTION ""CHINTENG""",衛署藥製字第033949號,製 劑,內服液劑,PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE;;BROMPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE,塑膠桶裝;;塑膠瓶裝;;玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""井田""亞涕液","ACTIN SOLUTION ""CHINTENG""",衛署藥製字第036864號,製 劑,內服液劑,PSEUDOEPHEDRINE HCL;;TRIPROLIDINE HCL MONOHYDRATE,塑膠瓶裝;;玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""井田""適敏錠２毫克（縮蘋果酸右旋氯菲安明）","SUMIN TABLETS 2MG (DEXCHLORPHENIRAMINE MALEATE) ""CHINTENG""",衛署藥製字第031187號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
