商品名,英文品名,許可證字號,許可證持有廠商,是否有效,藥品分類,分類依據,是否中藥,劑型,規格,包裝,適應症完整原文,適應症摘要,推定用途分類,全部成分原文,主要成分,防腐劑成分，若有,是否含防腐劑,是否為複方,資料來源,備註
樂視明點眼液,"LOSEMIN EYE DROPS ""OASIS""",衛署藥製字第007715號,綠洲化學工業有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TROPICAMIDE,瓶裝,散瞳,散瞳,散瞳／睫狀肌麻痺,EACH ML CONTAINS: TROPICAMIDE 5 5.000000 MG,Tropicamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/69423eaf-e48b-4a12-9b01-e1aa2b5fda81?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/52eb8232-ee6a-4236-b433-804aaec39e93_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
每瞳令－明點眼液,MYDRIN-M,衛署藥輸字第007107號,台灣參天製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TROPICAMIDE,瓶裝,散瞳和睫狀肌麻痹,散瞳,散瞳／睫狀肌麻痺,EACH ML CONTAINS: TROPICAMIDE 4.000000 MG,Tropicamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_c3890b5b-d112-49dd-a45d-76a549712f09?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/81d87a9f-4c0d-477b-ba6d-e878923304ae_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
特必邁眼藥水０．５％（挫匹卡邁）,"TROPICAMIDE OPHTHALMIC SOLUTION 0.5% ""WU FU""",衛署藥製字第029244號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TROPICAMIDE,塑膠瓶裝,瞳孔放大、睫狀肌麻痺作用（作為眼底檢查或暫時性睫狀肌麻痺時作用）,睫狀肌麻痺,散瞳／睫狀肌麻痺,EACH ML CONTAINS: TROPICAMIDE 5 5.000000 MG,Tropicamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_526a7c7a-6705-4fa1-b911-37f6bd7e2821?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/ca081eca-a136-430e-aca7-9dea06e7c8fe_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
特必邁眼藥水４公絲/公撮（挫匹卡邁）,"TROPICAMIDE OPHTHALMIC SOLUTION 4MG/ML ""WU-FU""",衛署藥製字第035597號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TROPICAMIDE,塑膠瓶裝,瞳孔放大、睫狀肌麻痺作用（作為眼底檢查或暫時性睫狀肌痲痺時 作用）。,睫狀肌麻痺,散瞳／睫狀肌麻痺,EACH ML CONTAINS: TROPICAMIDE 4.0 4.000000 MG,Tropicamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_0da0c31e-f4c5-475f-9a72-5f3050741091?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/176421b8-82b5-40d5-b733-fcbcedf82bde_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
眼亮佳眼藥水0.5%,Beter-free Eye Drops 0.5% (Tropicamide),衛部藥製字第059053號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TROPICAMIDE,塑膠瓶裝,散瞳及睫狀肌麻痺。,散瞳；睫狀肌麻痺,散瞳／睫狀肌麻痺,Each ml contains: TROPICAMIDE 5.000000 MG,Tropicamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_0bc5ccf3-3dc3-436b-a211-c70b48bead18?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_6044af29-9e32-4a92-bbea-830b4fee2af3?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/0ca699aa-0bb6-4625-bf77-2a1db7d6db19_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
硫酸阿托品點眼液１％,"ATROPINE SULPHATE OPHTHALMIC SOLUTION 1% ""WU FU""",衛署藥製字第032050號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,ATROPINE SULFATE,塑膠瓶裝,散瞳、睫狀肌麻痺,散瞳；睫狀肌麻痺,散瞳／睫狀肌麻痺,EACH ML CONTAINS: ATROPINE SULFATE 10.0 10.000000 MG,Atropine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_ee030cdf-b238-44a1-acb2-1b3a4da03e94?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/a52ce5f0-8bf1-4146-9ea6-bab3b68998c0_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
舒視平點眼液 0.125%,Kintropine Eye Drops 0.125%,衛署藥製字第049016號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,ATROPINE SULFATE,塑膠瓶裝,散瞳、睫狀肌麻痺。,散瞳；睫狀肌麻痺,散瞳／睫狀肌麻痺,Each mL contains： ATROPINE SULFATE 1.250000 MG,Atropine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_d78fbce1-b912-48ec-a797-78c1b936f691?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_ef549c2f-220e-4b23-95a8-897d59864a8c?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_625fb828-1565-46b1-b0d7-7e0c998b1124?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_694bd7fb-427d-4b41-bde4-e6a51cb0f3a4?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/bc35fe05-1fa8-48a7-9922-9053e585ce98_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/bc35fe05-1fa8-48a7-9922-9053e585ce98_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/bc35fe05-1fa8-48a7-9922-9053e585ce98_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/3b79c3b4-e6ca-4aed-b686-082ac0ba7de5?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
舒視平點眼液 0.25%,Kintropine Eye Drops 0.25%,衛署藥製字第049186號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,ATROPINE SULFATE,塑膠瓶裝,散瞳、睫狀肌麻痺。,散瞳；睫狀肌麻痺,散瞳／睫狀肌麻痺,Each mL contains： ATROPINE SULFATE 2.500000 MG,Atropine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_28127644-dab5-457f-b4ee-c3893535957a?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_41301f71-d19b-42e8-9bc6-fbe4368d48d8?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_cd0daa67-150b-464d-9852-10c5e93a2f15?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_c20d8fa1-8ed4-4b11-b3b7-5f964272cae5?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/8aee4ee4-e105-4f99-8bce-de200422be67_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8aee4ee4-e105-4f99-8bce-de200422be67_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8fff29fe-9529-4a62-a28f-9b3fda1d2db0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
通得明眼藥水 0.5%,Topimide Ophthalmic Solution 0.5% (Tropicamide),衛署藥製字第047641號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TROPICAMIDE,塑膠瓶裝,散瞳及睫狀肌麻痺。,散瞳；睫狀肌麻痺,散瞳／睫狀肌麻痺,Each mL contains: TROPICAMIDE 5.000000 MG,Tropicamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_b04becf6-ce5b-4973-8a01-737ead74c73d?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_1c15c572-b6de-45c0-8c40-61ecd7a8361b?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/d305ad30-aeb5-4408-9d68-a7a1715d959c_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d305ad30-aeb5-4408-9d68-a7a1715d959c_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
通得明眼藥水1%,Topimide Ophthalmic Solution 1% (Topicamide),衛署藥製字第048431號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TROPICAMIDE,塑膠瓶裝,檢查眼睛時，放大瞳孔及麻痺睫狀肌。,待人工確認,散瞳／睫狀肌麻痺,Each mL contains: TROPICAMIDE 10.000000 MG,Tropicamide,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_8109442b-5ff6-4f04-8403-fde6539a848d?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_cacc65ea-14b4-4866-8484-741c2e053454?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/2a51cbbd-b03e-4024-8887-24fd63a8d10d_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
適妥品眼藥膏,ATROPINE EYE OINTMENT,衛署藥製字第003948號,綠洲化學工業有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼膏劑,ATROPINE SULFATE,軟管裝,調視肌癱瘓、瞳孔散大,待人工確認,散瞳／睫狀肌麻痺,EACH GM CONTAINS: ATROPINE SULFATE 10 10.000000 MG,Atropine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_28ea7ef2-eda9-4eb5-9de3-a8cf730bcae9?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/e05328a4-f1ee-43b5-8751-6573b515b6c2_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
適妥品點眼液（硫酸阿托品）,"ATROPINE EYE DROPS (ATROPINE SULFATE)""OASIS""",衛署藥製字第018848號,綠洲化學工業有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,ATROPINE SULFATE,瓶裝,瞳孔散大、調視肌麻痺,待人工確認,散瞳／睫狀肌麻痺,EACH ML CONTAINS: ATROPINE SULFATE 10 10.000000 MG,Atropine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_c9babdfa-bda9-4b65-8f53-53c70d8c1bd1?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/f4c02299-b0e5-41ee-8cba-5fa06412ad32_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
雅托平眼藥水0.5%,Tropine Eye Drops 0.5% (Atropine sulfate),衛部藥製字第058331號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,ATROPINE SULFATE,塑膠瓶裝,散瞳、睫狀肌麻痺。,散瞳；睫狀肌麻痺,散瞳／睫狀肌麻痺,Each ml contains: ATROPINE SULFATE 5.000000 MG,Atropine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_536a1392-63fa-4b6e-a693-5a7242ecddea?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_ce3f1a9a-efd5-4e10-90e3-50305e268c66?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/850a89f2-69c9-40b4-892d-2f4328fa2a6d?c=2;https://mcp.fda.gov.tw/insert/lablefiles/5b8edda4-0ddd-4ca5-a091-2c5e712be315?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
雅托平眼藥水1.0%,Tropine Eye Drops 1.0% (Atropine sulfate),衛部藥製字第058985號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,ATROPINE SULFATE,塑膠瓶裝,散瞳、睫狀肌麻痺。,散瞳；睫狀肌麻痺,散瞳／睫狀肌麻痺,Each ml contains: ATROPINE SULFATE (H2O) 10.000000 MG,Atropine,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_473062f9-57cc-4d62-9be7-945fce293132?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/36fc4470-8afd-4bd6-b5fc-3515f8ce1593_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""三友""舒目眼藥水","Smooth Eye Drops ""Sun You""",衛署藥製字第041642號,三友生技醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE);;PYRIDOXINE HCL;;CHLORPHENIRAMINE MALEATE;;ALLANTOIN,塑膠瓶裝,暫時緩解因輕微眼部刺激所引起之不適、眼睛癢、眼睛疲勞。,眼睛疲勞；眼睛癢,疲勞／調節改善型,EACH ML CONTAINS PYRIDOXINE HCL 1 1.000000 MG；EACH ML CONTAINS ALLANTOIN 1 1.000000 MG；EACH ML CONTAINS GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE) 0.8 0.800000 MG；EACH ML CONTAINS CHLORPHENIRAMINE MALEATE 0.1 0.100000 MG,Pyridoxine HCL；Allantoin；Glycyrrhizinate Dipotassium (EQ TO Dipotassium Glycyrrhizinate)；Chlorpheniramine Maleate,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第041642號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/4a3f2e57-56cb-47b2-ad02-2237bfa22078_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""健喬"" 維生素 B12 眼藥水 0.02%","VITAMIN B12 EYE DROPS 0.02% (CYANOCOBALAMIN) ""SYNMOSA""",衛署藥製字第047053號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CYANOCOBALAMINE(1% SPRAY DRIED),塑膠瓶裝,眼睛疲勞。,眼睛疲勞,疲勞／調節改善型,EACH ML CONTAINS: CYANOCOBALAMINE(1% SPRAY DRIED) 0.200000 MG,Cyanocobalamine(1% Spray Dried),,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第047053號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/6e3c1a95-46ec-4df2-82c2-75e67801256c_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a57d1b3b-2747-4a28-9588-2f422b0152de?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""應元""舒視B12眼藥水0.02%","Soothe B12 eye drops 0.02% ""Y.Y.""",衛部藥製字第058352號,應元化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CYANOCOBALAMIN (VIT B12),塑膠瓶裝,眼睛疲勞。,眼睛疲勞,疲勞／調節改善型,Each ml contains: CYANOCOBALAMIN (VIT B12) 0.200000 MG,Cyanocobalamin (Vit B12),,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第058352號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/adea91fa-e09b-4d51-8943-09865ab4dbce_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/adea91fa-e09b-4d51-8943-09865ab4dbce_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/adea91fa-e09b-4d51-8943-09865ab4dbce_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/db8347d4-55f0-4324-b8fe-38bf30eddac9?c=2;https://mcp.fda.gov.tw/insert/lablefiles/adea91fa-e09b-4d51-8943-09865ab4dbce_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""杏輝""旺滴點眼液","ONE TEAR EYE DROPS ""SINPHAR""",衛署藥製字第038508號,杏輝藥品工業股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,POTASSIUM CHLORIDE;;SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE;;SODIUM CHLORIDE;;SODIUM CARBONATE ANHYDROUS;;BORIC ACID,塑膠瓶裝,淚液之補充、眼睛疲勞結膜囊的清淨化（如清淨塵埃、灰塵微粒子、細菌）。,眼睛疲勞；抗菌；潤滑保濕,疲勞／調節改善型,EACH ML CONTAINS: BORIC ACID 12 12.000000 MG；EACH ML CONTAINS: SODIUM CHLORIDE 5.5 5.500000 MG；EACH ML CONTAINS: POTASSIUM CHLORIDE 1.6 1.600000 MG；EACH ML CONTAINS: SODIUM CARBONATE ANHYDROUS 0.6 0.600000 MG；EACH ML CONTAINS: SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE 3.4 3.400000 MG,Boric Acid；Sodium chloride；Potassium Chloride；Sodium Carbonate Anhydrous；Sodium Phosphate Dibasic Heptahydrate,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第038508號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/66abce52-a099-4267-8d10-eb96bea2a108_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/66abce52-a099-4267-8d10-eb96bea2a108_14?c=2;https://mcp.fda.gov.tw/insert/lablefiles/66abce52-a099-4267-8d10-eb96bea2a108_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/66abce52-a099-4267-8d10-eb96bea2a108_10?c=2;https://mcp.fda.gov.tw/insert/lablefiles/66abce52-a099-4267-8d10-eb96bea2a108_11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/66abce52-a099-4267-8d10-eb96bea2a108_3?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""派頓""好明亮眼藥水","All-in-one eye drop ""Patron""",衛署藥製字第055971號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,NEOSTIGMINE METHYLSULFATE;;DL-CHLORPHENIRAMINE MALEATE;;ASPARTATE POTASSIUM MAGNESIUM L- ( EQ TO MAGNESIUM POTASSIUM L-ASPARTATE);;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE),塑膠瓶裝,暫時緩解因輕微眼部刺激所引起之不適，眼睛癢，眼睛疲勞。,眼睛疲勞；眼睛癢,疲勞／調節改善型,Each mL contains： ASPARTATE POTASSIUM MAGNESIUM L- ( EQ TO MAGNESIUM POTASSIUM L-ASPARTATE) 4.000000 MG；Each mL contains： TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID) 10.000000 MG；Each mL contains： NEOSTIGMINE METHYLSULFATE 0.010000 MG；Each mL contains： DL-CHLORPHENIRAMINE MALEATE 0.200000 MG；Each mL contains： GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE) 1.000000 MG,Aspartate Potassium Magnesium L- ( EQ TO Magnesium Potassium L-Aspartate)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)；Neostigmine Methylsulfate；Dl-Chlorpheniramine Maleate；Glycyrrhizinate Dipotassium (EQ TO Dipotassium Glycyrrhizinate),,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_4b7d00a9-ded4-445d-bc92-7478f0531bea?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_28586420-8e07-44f4-93a2-e53d21b7030e?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_03a4db8d-24a5-42f0-a1c5-cb077b346100?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/3c0657f6-6c15-4c1e-98eb-915c046628ec_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/3c0657f6-6c15-4c1e-98eb-915c046628ec_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/3c0657f6-6c15-4c1e-98eb-915c046628ec_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/3c0657f6-6c15-4c1e-98eb-915c046628ec_3?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""派頓""好晶光 眼藥水","Beadiest eye drop ""Patron""",衛署藥製字第047554號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,PANTHENOL;;DL-CHLORPHENIRAMINE MALEATE;;EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE);;ASPARTATE POTASSIUM MAGNESIUM L- ( EQ TO MAGNESIUM POTASSIUM L-ASPARTATE),塑膠瓶裝,暫時緩解因輕微眼部刺激所引起之不適、或眼睛紅、眼睛癢、眼睛疲勞。,眼睛疲勞；眼睛癢；眼睛紅,疲勞／調節改善型,Each ml contains: PANTHENOL 1.000000 MG；Each ml contains: EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE) 1.000000 MG；Each ml contains: DL-CHLORPHENIRAMINE MALEATE 0.300000 MG；Each ml contains: ASPARTATE POTASSIUM MAGNESIUM L- ( EQ TO MAGNESIUM POTASSIUM L-ASPARTATE) 15.000000 MG,Panthenol；Ephedrine HCL (EQ TO Ephedrine Hydrochloride)；Dl-Chlorpheniramine Maleate；Aspartate Potassium Magnesium L- ( EQ TO Magnesium Potassium L-Aspartate),,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_9221e6a5-5f5a-4c4f-8529-3d756690ed33?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_0016447c-01a0-4df0-bf04-403b312301ce?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_3a31d7b5-1e7b-4ee1-9827-29525bef3681?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/8792963f-de52-4f18-8101-33464d7da1dd_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8792963f-de52-4f18-8101-33464d7da1dd_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8792963f-de52-4f18-8101-33464d7da1dd_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8792963f-de52-4f18-8101-33464d7da1dd_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8792963f-de52-4f18-8101-33464d7da1dd_4?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""派頓""眼晶眼藥水","ENGENE EYE DROPS ""PATRON""",衛署藥製字第020694號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CHLORPHENIRAMINE MALEATE;;PYRIDOXINE HCL;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE);;FLAVINEADENINE DINUCLEOTIDE SODIUM,塑膠瓶裝,眼睛疲勞，眼睛癢，暫時緩解因輕微眼部刺激所引起之不適。,眼睛疲勞；眼睛癢,疲勞／調節改善型,EACH ML CONTAINS: CHLORPHENIRAMINE MALEATE 0.2 0.200000 MG；EACH ML CONTAINS: PYRIDOXINE HCL 1 1.000000 MG；EACH ML CONTAINS: TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID) 5 5.000000 MG；EACH ML CONTAINS: GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE) 0.5 0.500000 MG；EACH ML CONTAINS: FLAVINEADENINE DINUCLEOTIDE SODIUM 0.5 MG,Chlorpheniramine Maleate；Pyridoxine HCL；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)；Glycyrrhizinate Dipotassium (EQ TO Dipotassium Glycyrrhizinate)；Flavineadenine Dinucleotide Sodium,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第020694號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/61455c74-61e7-405b-9c45-7b9daa173875?c=2;https://mcp.fda.gov.tw/insert/lablefiles/24518b1e-4c93-4b73-9923-e014cf23b4ef_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/24518b1e-4c93-4b73-9923-e014cf23b4ef_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/23d15af4-cd41-46fb-ab28-8ac7827637d5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/24518b1e-4c93-4b73-9923-e014cf23b4ef_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/24518b1e-4c93-4b73-9923-e014cf23b4ef_4?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
