ingredient_id,ingredient_inn,ingredient_zh,indication_id,indication_standard,product_count,license_count,active_license_count,product_names,license_numbers,evidence_source,last_updated
ING0044,Nonylic-Vanillylamide,,IND0069,扭挫傷,1,1,1,曼秀雷敦熱力鎮痛藥膠布,衛署藥製字第040515號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0053,打撲,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0054,捻挫,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0027,腰痛,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0034,肩膀痠痛,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0029,筋肉痛,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0079,筋肉疲勞,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0026,關節痛,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0057,Dl-Alpha-Tocopherol Acetate,,IND0114,凍傷,1,1,1,救痛藥布,衛署藥製字第040929號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0055,Ketoprofen,,IND0104,暫時緩解局部疼痛,29,29,25,"""人生"" 克痛分酸痛藥膠布;""國品""可多普洛菲藥膠布;""得生""剋力痛藥膠布;""得生""剋痛藥布(油性基劑);""得生""濟痛藥布 (可多普洛菲);""真富""舒康藥膠布;""立康生物科技"" 安痠痛藥膠布(可多普洛菲);""西德有機"" 立止炎痛水性藥布;""護民"" 舒痛炎藥膠布;“八福”可安炎藥膠布;“得生”剋痛普洛藥膠布;〝國品〞切痛寧藥膠布;〝得生〞舒寧莫痛藥布（可多普洛菲）;〝德山〞平痛寧藥膠布;克洛分舒痛藥膠布;剋吾痛痠痛布;康適貼克痛藥布;掘他痛痠痛藥膠布;易利氣酸痛藥布;曼秀雷敦舒效消炎水性藥膠布;曼秀雷敦舒效消炎藥膠布;痛免苦　貼片;痛貼貼醫療水性貼布;科痛藥布〝三陽〞;脫酸寧酸痛藥布;舒痛安藥膠布;貼痠克痛藥膠布〝生春〞;達痛平藥膠布;關健痠痛貼布",衛署藥製字第042591號;衛署藥製字第043220號;衛署藥製字第044026號;衛署藥製字第044246號;衛署藥製字第045916號;衛署藥製字第045992號;衛署藥製字第047507號;衛署藥製字第047891號;衛署藥製字第048000號;衛署藥製字第048164號;衛署藥製字第048704號;衛署藥製字第048767號;衛署藥製字第048874號;衛署藥製字第049027號;衛署藥製字第049567號;衛署藥製字第049837號;衛署藥製字第051035號;衛署藥製字第052108號;衛署藥製字第056758號;衛署藥製字第057144號;衛署藥製字第057146號;衛署藥輸字第022429號;衛署藥輸字第023011號;衛署藥輸字第023826號;衛部藥製字第058260號;衛部藥製字第059301號;衛部藥輸字第028413號;衛部藥輸字第028610號;衛部藥輸字第028640號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0058,Estradiol,,IND0140,自然或手術引起之停經症候群,5,5,0,〝生達〞貼樂蒙貼片４公絲/１０平方公分（氫偶素);康蒙穿皮貼片劑　ＭＸ１００;康蒙穿皮貼片劑　ＭＸ２５;康蒙穿皮貼片劑　ＭＸ５０;康蒙穿皮貼片劑５０,衛署藥製字第042777號;衛署藥輸字第016914號;衛署藥輸字第022683號;衛署藥輸字第022684號;衛署藥輸字第022685號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0058,Estradiol,,IND0141,停經後骨質疏鬆症之防治,5,5,0,〝生達〞貼樂蒙貼片４公絲/１０平方公分（氫偶素);康蒙穿皮貼片劑　ＭＸ１００;康蒙穿皮貼片劑　ＭＸ２５;康蒙穿皮貼片劑　ＭＸ５０;康蒙穿皮貼片劑５０,衛署藥製字第042777號;衛署藥輸字第016914號;衛署藥輸字第022683號;衛署藥輸字第022684號;衛署藥輸字第022685號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0028,Eucalyptus Oil (Oleum Eucalypti),,IND0103,肌肉酸痛,2,2,2,"""得生"" 貼立舒喜布;虎標鎮痛藥布",衛署藥製字第043030號;衛署藥製字第049007號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0028,Eucalyptus Oil (Oleum Eucalypti),,IND0003,肩膀酸痛,3,3,2,"""得生"" 貼立舒喜布;藤澤藥膠布;虎標鎮痛藥布",衛署藥製字第043030號;衛署藥製字第049007號;衛署藥輸字第020565號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
