license_no,chinese_name,english_name,indication_raw,indication_id,indication_standard,mapping_method,confidence,review_status,source_url,notes
衛署成製字第003051號,白金膏,PATEX PAP,腰痛、筋肉痛、挫傷、風濕關節痛、關節痛、腫脹,IND0026,關節痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003051號,白金膏,PATEX PAP,腰痛、筋肉痛、挫傷、風濕關節痛、關節痛、腫脹,IND0033,腫脹,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003240號,奧林巴斯,"OLUM PUR ""KO TAI""",關節痛、神經痛、腰痛、肩膀痠痛、肌肉疲勞、打傷消腫,IND0026,關節痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003240號,奧林巴斯,"OLUM PUR ""KO TAI""",關節痛、神經痛、腰痛、肩膀痠痛、肌肉疲勞、打傷消腫,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003240號,奧林巴斯,"OLUM PUR ""KO TAI""",關節痛、神經痛、腰痛、肩膀痠痛、肌肉疲勞、打傷消腫,IND0027,腰痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003240號,奧林巴斯,"OLUM PUR ""KO TAI""",關節痛、神經痛、腰痛、肩膀痠痛、肌肉疲勞、打傷消腫,IND0034,肩膀痠痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003240號,奧林巴斯,"OLUM PUR ""KO TAI""",關節痛、神經痛、腰痛、肩膀痠痛、肌肉疲勞、打傷消腫,IND0013,肌肉疲勞,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003240號,奧林巴斯,"OLUM PUR ""KO TAI""",關節痛、神經痛、腰痛、肩膀痠痛、肌肉疲勞、打傷消腫,IND0035,打傷消腫,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0026,關節痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
